Time	Pos X	Pos Y	Vel X	Vel Y	Acc X	Acc YForce X	Force Y
0.01656246	0.01286771	-0.7975628	-0.001670338	0.1035304	0.0002172914	-0.0134681	0	0
0.03349362	0.01286771	-0.7975628	0	0	-0.0002173017	0.01346873	0	0
0.05000041	0.01286771	-0.7975628	0	0	0	0	0	0
0.06626009	0.01286771	-0.7975628	0	0	0	0	0	0
0.08301874	0.01286771	-0.7975628	0	0	0	0	0	0
0.09953265	0.01286771	-0.7975628	0	0	0	0	0	0
0.1160446	0.01286771	-0.7975628	0	0	0	0	0	0
0.1325289	0.01286771	-0.7975628	0	0	0	0	0	0
0.1490957	0.01286771	-0.7975628	0	0	0	0	0	0
0.1656609	0.01286771	-0.7975628	0	0	0	0	0	0
0.1822328	0.01286771	-0.7975628	0	0	0	0	0	0
0.2091995	0.01286771	-0.7975628	0	0	0	0	0	0
0.2359234	0.01286771	-0.7975628	0	0	0	0	0	0
0.2524922	0.01286771	-0.7975628	0	0	0	0	0	0
0.2690559	0.01286771	-0.7975628	0	0	0	0	0	0
0.2856787	0.01286771	-0.7975628	0	0	0	0	0	0
0.3021902	0.01286771	-0.7975628	0	0	0	0	0	0
0.3187559	0.01286771	-0.7975628	0	0	0	0	0	0
0.3353235	0.01286771	-0.7975628	0	0	0	0	0	0
0.3527307	0.01286771	-0.7975628	0	0	0	0	0	0
0.3690334	0.01286771	-0.7975628	0	0	0	0	0	0
0.385616	0.01286771	-0.7975628	0	0	0	0	0	0
0.4021705	0.01286771	-0.7975628	0	0	0	0	0	0
0.4187417	0.01286771	-0.7975628	0	0	0	0	0	0
0.4353029	0.01286771	-0.7975628	0	0	0	0	0	0
0.4518698	0.01286771	-0.7975628	0	0	0	0	0	0
0.4684362	0.01286771	-0.7975628	0	0	0	0	0	0
0.4850049	0.01286771	-0.7975628	0	0	0	0	0	0
0.5094002	0.01286771	-0.7975628	0	0	0	0	0	0
0.5192644	0.01286771	-0.7975628	0	0	0	0	0	0
0.5358344	0.01286771	-0.7975628	0	0	0	0	0	0
0.5524008	0.01286771	-0.7975628	0	0	0	0	0	0
0.5689814	0.01286771	-0.7975628	0	0	0	0	0	0
0.585534	0.01286771	-0.7975628	0	0	0	0	0	0
0.6028895	0.01286771	-0.7975628	0	0	0	0	0	0
0.6189056	0.01286771	-0.7975628	0	0	0	0	0	0
0.6359137	0.01286771	-0.7975628	0	0	0	0	0	0
0.6518027	0.01286771	-0.7975628	0	0	0	0	0	0
0.6684319	0.01286771	-0.7975628	0	0	0	0	0	0
0.6849481	0.01286771	-0.7975628	0	0	0	0	0	0
0.7015007	0.01286771	-0.7975628	0	0	0	0	0	0
0.7184749	0.01286771	-0.7975628	0	0	0	0	0	0
0.7346339	0.01286771	-0.7975628	0	0	0	0	0	0
0.7512015	0.01286771	-0.7975628	0	0	0	0	0	0
0.7680174	0.01286771	-0.7975628	0	0	0	0	0	0
0.7902861	0.01286771	-0.7975628	0	0	0	0	0	0
0.8068564	0.01286771	-0.7975628	0	0	0	0	0	0
0.8235468	0.01286771	-0.7975628	0	0	0	0	0	0
0.8400599	0.01286771	-0.7975628	0	0	0	0	0	0
0.8565568	0.01286771	-0.7975628	0	0	0	0	0	0
0.8731224	0.01286771	-0.7975628	0	0	0	0	0	0
0.890097	0.01286771	-0.7975628	0	0	0	0	0	0
0.906256	0.01286771	-0.7975628	0	0	0	0	0	0
0.9228228	0.01286771	-0.7975628	0	0	0	0	0	0
0.939388	0.01286771	-0.7975628	0	0	0	0	0	0
0.9559591	0.01286771	-0.7975628	0	0	0	0	0	0
0.9725248	0.01286771	-0.7975628	0	0	0	0	0	0
0.9890884	0.01286771	-0.7975628	0	0	0	0	0	0
1.005674	0.01286771	-0.7975628	0	0	0	0	0	0
1.022222	0.01286771	-0.7975628	0	0	0	0	0	0
1.039202	0.01286771	-0.7975628	0	0	0	0	0	0
